label,count
AgRg nos EDcl no ARE nos EDcl no RE no AREsp,1
AgInt no RE no RCD nos EDcl no REsp,1
EDcl no AgInt nos EDcl nos EDcl nos EREsp,1
ARE nos EDcl no AgInt no RE nos EDcl no AgInt no REsp,1
AgInt nos EDcl no RE nos EDcl no AgInt nos EDcl no AREsp,1
EDcl nos EDcl no AgInt nos EDcl no RE nos EDcl no AgInt nos EDcl no AREsp,1
EDcl no AgInt no RE nos EDcl nos EDcl no AgInt no REsp,1
AgInt na PET na SS,1
AgInt no RE nos EDcl no AgInt nos EDv nos EAREsp,1
AgRg no RE no REsp,1
AgInt no RE nos EDcl nos EDcl no AgInt nos EDcl nos EDcl no AgRg no CC,1
AgInt no RE no AgInt na TutPrv na ExeMS,1
AgRg no RE no AgRg no AgRg no AREsp,1
AgInt nos EDcl no RE no AgInt nos EDcl no AREsp,1
AgInt no ARE no RE nos EDcl na PET no REsp,1
EDcl nos EDcl no AgRg nos EAREsp,1
AgRg no AgRg no QuebSig,1
AgRg na PET na Pet,1
EDcl nos EDcl no AgInt no RE nos EDcl nos EDcl no CC,1
EDcl nos EDcl no AgInt no RE nos EDcl nos EDcl no AgRg no REsp,1
EDcl no AgInt no ARE no RE no AgInt no AREsp,1
EDcl nos EDcl no AgInt nos EDcl nos EREsp,1
AgInt no RE nos EDcl nos EDcl no AgRg no AREsp,1
EDcl no AgInt no RE no AgInt no AgInt na PET no AREsp,1
AgInt nos EDcl no AgInt no AREsp,1
EDcl nos EDcl nos EDcl no AgRg na Pet,1
Sd,1
AgRg na PET nos EDcl no AgRg no RE nos EDcl no AgRg nos EAREsp,1
AgRg nos EDcl na PET na APn,1
AgInt no RE na PET no REsp,1
AgRg nos EDcl no AgRg no RHC,1
AgRg nos EDcl na AlienBac,1
EDcl no AgRg no RE nos EDcl no AgRg nos EDcl nos EAREsp,1
EDcl no AgRg no RE nos EDcl nos EDcl no AREsp,1
AgRg no RtPaut no AgRg no RE nos EDcl no AgRg no AREsp,1
AgInt no RE no AgInt nos EDcl nos EREsp,1
AgRg no RE nos EDcl no AgRg no RCD na PET no REsp,1
AgInt no AgInt no AgInt nos EDv nos EREsp,1
AgInt no RE nos EDcl no AgInt na ImpExe na ExeMS,1
AgInt no RE nos EDcl nos EDcl no RE no AgRg nos EDcl no RMS,1
AgRg no ARE no RE nos EDcl no AgRg nos EDcl nos EDv nos EDcl no AREsp,1
AgRg no RE nos EDcl no AgRg nos EmbAc,1
AgRg no RE no AgRg na PET no HC,1
EDcl no AgInt no CC,1
AgRg nos EAg,1
AgInt nos EDv nos EREsp,1
AgInt na PET nos EREsp,1
AgInt no RE nos EDcl nos EDcl no AgInt nos EDcl no AgInt nos EDcl no AREsp,1
AgRg na AlienBac,1
AgRg nos EDcl nos EDv nos EAREsp,1
EDcl no AgRg nos EAg,1
EDcl no AgInt no AgInt nos EAREsp,1
QO nos EDcl no AgInt no RE no AgInt no AREsp,1
AgInt nos EDcl no CC,1
AgInt no Acordo no MS,1
AgRg na IJ,1
AgInt no RE nos EDcl nos EDcl no AgInt nos EDcl no REsp,1
EDcl no AgInt no RE nos EDcl nos EDcl no AgInt nos EDcl nos EDcl no AgRg no CC,1
AgInt no RE nos EDcl nos EDcl no AgInt nos EDcl nos EDcl no AREsp,1
EDcl nos EDcl no AgRg no RE nos EDcl no AgRg no AgRg no AREsp,1
AgInt no RE no MS,1
EDcl no AgInt no RE nos EDcl no AgInt nos EDcl nos EDcl no AREsp,1
AgRg na TutAntAnt,1
ARE no AgInt no RE no AgInt no AgInt nos EREsp,1
EDcl no AgInt nos EDcl no RE no AgInt no AREsp,1
EDcl nos EDcl nos EDcl no AgInt no RE nos EDcl no AgInt nos EAREsp,1
AgInt no AgInt no RE no AgInt nos EAREsp,1
AgInt na EXC na ExImp,1
QO no AgInt na SLS SLS,1
AgInt no ARE no RE nos EDcl no AgInt nos EAREsp,1
AgInt no RE nos EDcl nos EREsp,1
AgInt no RE nos EDcl no AgInt nos EDcl nos EREsp,1
AgInt nos EDcl no AgInt no AgInt nos EREsp,1
AgInt no AREsp,1
AgInt no RE no AgInt nos EDcl no REsp,1
AgRg no ARE no RE nos EDcl no REsp,1
EDcl no AgInt no ARE no RE nos EDcl no AgInt no AREsp,1
AgInt no RE nos EDcl nos EDcl nos EDcl no AgInt nos EREsp,1
EDcl no AgInt no RE nos EDcl no AgInt nos EDcl no AREsp,1
EDcl nos EDcl no AgInt no RE nos EDcl no AgInt nos EDcl nos EAREsp,1
AgRg na MISOC,1
EDcl nos EDcl no AgInt na HDE,1
EDcl nos EDcl nos EDcl no AgRg nos EAREsp,1
EDcl nos EDcl no AgRg no RE nos EDcl no AgRg nos EDcl no REsp,1
AgRg nos EDcl no RE nos EDcl no AgRg nos EDcl no AREsp,1
ARE no RE no AgRg nos EAREsp,1
EDcl no AgRg no RE nos EDcl no AgRg nos EDcl no AREsp,1
EDcl no AgInt no RE nos EDcl nos EREsp,1
AgRg no AgRg no RE no AgRg no REsp,1
EDcl nos EDcl nos EDcl nos EDcl no AgRg nos EAREsp,1
AgInt no RE no AgInt no CC,1
AgInt no RE no AgInt nos EDcl nos EAREsp,1
EDcl no AgInt no RE no AgInt nos EAREsp,1
EDcl nos EDcl no AgInt no RE no AgInt no AREsp,1
AgRg no RE no AgRg nos AREsp,1
AgRg no RCD na Pet,1
AgRg na QC,1
EDcl no AgInt no RE no AgInt nos EDcl no AREsp,1
EDcl nos EDcl no AgInt no RE na PET no REsp,1
EDcl nos EDcl nos EDcl no AgInt no RE nos EDcl no AgInt nos EDcl no AREsp,1
AgRg nos EDcl no AgRg nos EAREsp,1
EDcl nos EDcl no AgInt no RE nos EDcl no AgInt no RMS,1
PET na APn,1
AgRg no ARE no RE nos EDcl no AgRg nos EDcl no AREsp,1
AgInt no RE no AgInt no AgInt no AREsp,1
EDcl nos EDcl no AgInt no RE nos EDcl no AgInt no REsp,1
PET na SLS,1
EDcl nos EDcl nos EDcl no AgInt no RE nos EDcl nos EDcl nos EDcl no AgInt nos EDcl nos EDcl na Pet,1
AgRg na TutCautAnt,1
EDcl nos EDcl no AgInt no RE nos EDcl nos EDcl no AgInt nos EDv nos EAREsp,1
EDcl no AgInt nos EDcl nos EDcl no RE nos EAREsp,1
EDcl no AgRg no RE nos EDcl no AgRg nos EAg,1
AgInt nos EDcl nos EDcl nos EDcl nos EAREsp,1
EDcl nos EDcl nos EDcl no AgInt nos EREsp,1
AgInt no RE nos EDcl nos EDcl no AgInt no REsp,1
AgRg no RCD na APn,1
AgInt no PDist no RE nos EDv nos EAREsp,1
AgRg no RE nos EDcl no AgRg nos EREsp,1
EDcl nos EDcl no AgRg nos EDcl nos EAREsp,1
ARE nos EDcl no AgRg nos EAREsp,1
RCD no AgInt nos EREsp,1
AgInt no RE nos EDcl nos EAREsp,1
AgRg no RE nos EDcl no AgRg nos EDcl no REsp,1
RCD na Pet,1
QO no AREsp,1
AgInt nos EDcl nos EDcl na PET nos EAREsp,1
EDcl no AgInt nos EDcl nos EDcl nos EDcl nos EAREsp,1
AgInt nos EDcl na Rcl,1
AgInt nos EDcl no RE nos EDcl no AgRg no REsp,1
AgInt na RPV,1
AgRg no RE nos EDcl no AgRg no RHC,1
AgInt no AgInt no RE nos EDcl nos EDcl no AgInt nos EDcl no REsp,1
EDcl nos EDcl nos EDcl no AgInt nos EDcl nos EREsp,1
PET no RE nos EDcl no AgRg no AREsp,1
EDcl nos EDcl nos EDcl no AgRg nos EDcl nos EAREsp,1
EDcl no AgInt no PDist no RE nos EDv nos EAREsp,1
AgInt na ExeSEC,1
EDcl no AgRg na QC,1
AgInt na TutPrv nos EAREsp,1
AgInt no RE na AR,1
QO na PET na APn,1
EDcl nos EDcl no REsp,1
AgInt nos EDcl na Pet,1
AgRg na PET na CauInomCrim,1
AgRg no AgRg no AgRg na APn,1
EDcl nos EDcl no AgInt nos EDcl no AgInt no MS,1
AgRg no AgRg no RE nos EDcl no AgRg no REsp,1
AgInt no RE nos EDcl nos EDcl na AR,1
EDcl na SLS,1
EDcl no AgRg no RE no AgRg nos EDcl no REsp,1
AgInt no RE no AgInt no RtPaut no REsp,1
EDcl no AgInt no RE nos EDcl no REsp,1
AgRg na PET no AREsp,1
AgRg no ARE no RE no AgRg no AgRg no AREsp,1
AgInt nos EDcl na DESIS no REsp,1
AgInt no RE nos EDcl no AgInt nos EDcl nos EDcl no AREsp,1
EDcl nos EDcl no AgRg no RE nos EDcl nos EDcl no AgRg no AREsp,1
EDcl no AgRg no RE no REsp,1
AgRg no AgRg no RE no AgRg no AREsp,1
AgRg no RE no AgRg nos EDcl no RHC,1
EDcl no AgInt no RE nos EDcl no AgInt nos EREsp,1
AgRg nos EDcl na RvCr,1
